borrower_type,monthly_inflow,upi_tx_count_monthly,upi_debit_to_credit_ratio,cashflow_volatility,utility_payment_delay_days,telecom_recharge_regularity,gst_filing_punctuality,ecommerce_cancellation_rate,mobility_activity_score,is_default
gig_worker,17101.0,53,1.085,0.64,4,0.776,0.0,0.064,77.0,0
kirana_merchant,28882.47,43,1.083,0.292,0,0.272,0.673,0.072,49.4,0
kirana_merchant,31472.25,49,0.995,0.463,8,0.909,0.45,0.144,42.5,0
gig_worker,12806.37,41,0.844,0.624,6,0.633,0.0,0.17,75.6,0
kirana_merchant,36465.93,42,0.682,0.486,19,0.953,0.654,0.096,49.3,0
gig_worker,52731.46,48,0.622,0.289,5,0.522,0.0,0.201,47.5,0
gig_worker,24653.55,37,0.716,0.804,1,0.987,0.0,0.316,81.0,0
freelancer,53108.06,44,0.77,0.712,1,0.688,0.0,0.312,35.7,1
freelancer,24468.78,41,0.665,0.581,0,0.299,0.0,0.04,54.2,0
freelancer,41142.31,35,0.712,0.659,3,0.65,0.0,0.219,22.4,0
gig_worker,8872.53,51,0.642,0.432,0,0.242,0.0,0.091,95.5,0
gig_worker,90164.3,52,0.862,0.401,24,0.552,0.0,0.239,60.2,0
kirana_merchant,56824.86,44,0.663,0.228,2,0.738,0.285,0.208,62.7,0
kirana_merchant,23334.48,48,0.971,0.743,0,0.308,0.603,0.094,36.6,1
gig_worker,10036.22,50,0.766,0.405,5,0.331,0.0,0.331,80.9,0
kirana_merchant,31070.5,34,0.936,0.654,1,0.81,0.156,0.176,65.3,0
gig_worker,13069.51,49,1.041,0.34,4,0.418,0.0,0.149,79.6,0
freelancer,33604.89,45,0.643,0.737,6,0.883,0.0,0.281,32.2,0
gig_worker,33050.2,47,1.095,0.184,11,0.691,0.0,0.118,65.0,0
kirana_merchant,16802.76,50,0.923,0.6,2,0.637,0.155,0.215,39.3,0
gig_worker,47121.45,51,0.627,0.746,1,0.516,0.0,0.087,55.7,0
kirana_merchant,40246.86,48,0.757,0.628,23,0.967,0.479,0.04,47.4,0
kirana_merchant,43822.89,50,1.043,0.657,0,0.7,0.251,0.184,64.4,0
gig_worker,27022.6,49,0.898,0.521,3,0.263,0.0,0.074,87.6,1
freelancer,13256.43,35,0.744,0.547,0,0.527,0.0,0.139,55.2,0
kirana_merchant,43867.81,39,1.07,0.153,9,0.298,0.316,0.177,56.4,0
freelancer,23501.38,42,0.994,0.301,2,0.788,0.0,0.022,8.8,0
freelancer,13428.17,51,0.968,0.678,0,0.4,0.0,0.135,30.7,1
kirana_merchant,52892.65,43,1.044,0.856,2,0.213,0.092,0.167,52.6,0
freelancer,76857.15,51,0.985,0.533,2,0.995,0.0,0.2,29.4,1
gig_worker,26354.02,49,0.743,0.68,1,0.578,0.0,0.297,67.5,0
gig_worker,79186.46,44,0.892,0.647,2,0.228,0.0,0.128,75.3,0
gig_worker,28159.99,32,1.021,0.9,3,0.564,0.0,0.324,72.7,0
gig_worker,22242.76,41,0.69,0.736,9,0.418,0.0,0.131,81.6,0
gig_worker,19629.15,38,0.682,0.602,4,0.781,0.0,0.206,61.2,0
gig_worker,60994.64,48,0.679,0.192,2,0.206,0.0,0.046,36.5,0
freelancer,18213.68,48,0.697,0.39,1,0.31,0.0,0.153,20.1,0
gig_worker,38856.66,47,0.652,0.301,4,0.483,0.0,0.277,90.3,0
gig_worker,20341.49,36,1.019,0.783,7,0.517,0.0,0.118,73.5,0
kirana_merchant,21372.21,36,1.009,0.457,3,0.59,0.857,0.024,39.2,0
gig_worker,45031.83,41,0.676,0.528,3,0.483,0.0,0.326,90.6,0
freelancer,22247.43,41,0.953,0.872,1,0.519,0.0,0.022,14.5,0
gig_worker,21973.72,42,0.913,0.769,3,0.588,0.0,0.108,86.7,0
freelancer,47401.18,48,0.738,0.732,8,0.946,0.0,0.318,43.1,0
kirana_merchant,59796.27,42,0.714,0.214,1,0.621,0.889,0.065,57.9,0
gig_worker,37136.1,43,0.725,0.118,15,0.544,0.0,0.304,78.8,0
gig_worker,19391.98,48,0.965,0.2,0,0.238,0.0,0.335,84.5,0
freelancer,20841.38,41,0.76,0.692,3,0.32,0.0,0.226,43.9,0
kirana_merchant,27999.94,39,0.739,0.429,16,0.806,0.101,0.13,50.1,0
kirana_merchant,31585.87,32,0.611,0.194,0,0.967,0.402,0.122,51.4,0
kirana_merchant,16416.91,47,1.054,0.691,2,0.507,0.752,0.066,26.2,0
gig_worker,38619.75,29,0.976,0.256,3,0.97,0.0,0.318,61.1,0
gig_worker,28078.42,52,0.836,0.571,4,0.463,0.0,0.282,99.0,1
gig_worker,11408.86,38,1.071,0.693,1,0.962,0.0,0.094,62.1,0
freelancer,16907.91,46,0.747,0.586,5,0.687,0.0,0.241,20.0,0
kirana_merchant,20909.01,31,0.937,0.895,7,0.223,0.869,0.216,37.6,0
gig_worker,25940.77,52,0.753,0.447,3,0.263,0.0,0.067,62.7,0
gig_worker,69191.92,49,0.757,0.349,1,0.984,0.0,0.099,57.8,0
gig_worker,30305.54,50,1.022,0.261,7,0.444,0.0,0.065,81.8,0
gig_worker,17669.83,55,0.994,0.503,7,0.211,0.0,0.198,68.7,1
kirana_merchant,30040.91,35,0.747,0.782,5,0.263,0.496,0.084,24.2,0
kirana_merchant,22560.51,40,0.641,0.858,9,0.624,0.855,0.345,33.2,0
freelancer,31646.38,43,0.779,0.878,4,0.383,0.0,0.111,18.5,0
kirana_merchant,35964.36,36,0.98,0.525,6,0.803,0.008,0.259,37.5,0
gig_worker,49247.57,42,0.65,0.584,9,0.907,0.0,0.128,82.9,0
kirana_merchant,26578.47,50,0.936,0.565,1,0.49,0.055,0.138,43.6,1
kirana_merchant,61051.94,45,1.045,0.473,6,0.757,0.299,0.123,51.6,0
kirana_merchant,42362.18,40,0.69,0.222,0,0.78,0.554,0.056,48.9,0
kirana_merchant,18887.97,50,1.031,0.152,3,0.579,0.244,0.326,43.0,0
kirana_merchant,81220.9,41,0.626,0.449,3,0.408,0.876,0.277,48.0,0
kirana_merchant,31681.79,44,0.933,0.249,2,0.806,0.788,0.098,52.1,0
kirana_merchant,17719.8,41,0.996,0.809,1,0.241,0.484,0.121,27.0,1
gig_worker,61479.34,37,0.822,0.709,4,0.266,0.0,0.166,88.4,1
gig_worker,76030.42,51,0.702,0.595,3,0.294,0.0,0.276,91.1,0
gig_worker,26462.59,38,1.062,0.138,6,0.454,0.0,0.309,62.2,0
kirana_merchant,20914.02,50,0.61,0.598,2,0.439,0.065,0.273,54.1,0
gig_worker,24681.58,40,0.878,0.597,1,0.454,0.0,0.334,72.0,0
kirana_merchant,38459.69,43,0.786,0.451,5,0.278,0.785,0.271,38.8,0
freelancer,50966.73,49,0.831,0.626,5,0.537,0.0,0.094,65.3,0
gig_worker,35783.55,39,0.868,0.786,1,0.587,0.0,0.145,65.8,1
kirana_merchant,28306.92,37,0.867,0.706,2,0.906,0.404,0.265,36.1,0
kirana_merchant,56897.45,33,0.702,0.479,8,0.943,0.684,0.062,44.6,0
gig_worker,23007.64,51,0.94,0.31,7,0.466,0.0,0.096,67.7,0
gig_worker,45046.91,64,0.61,0.482,0,0.969,0.0,0.344,53.4,0
gig_worker,23294.41,49,0.611,0.857,1,0.58,0.0,0.239,63.9,0
gig_worker,33373.3,46,0.839,0.756,0,0.872,0.0,0.079,84.5,0
freelancer,25418.15,45,0.871,0.122,3,0.205,0.0,0.05,39.0,0
freelancer,26162.28,43,0.737,0.726,0,0.266,0.0,0.338,39.1,0
kirana_merchant,22276.93,50,0.876,0.236,1,0.54,0.385,0.185,60.7,0
freelancer,52702.97,47,0.858,0.557,1,0.516,0.0,0.159,41.7,0
freelancer,18648.8,37,0.775,0.745,12,0.57,0.0,0.283,19.8,1
gig_worker,18580.8,56,0.926,0.549,1,0.412,0.0,0.241,79.6,0
freelancer,77691.16,39,1.079,0.423,1,0.66,0.0,0.204,36.4,0
kirana_merchant,43867.27,45,0.845,0.357,8,0.791,0.364,0.096,41.9,0
freelancer,8163.62,42,0.993,0.344,3,0.308,0.0,0.203,43.2,0
freelancer,20279.6,32,0.724,0.77,10,0.637,0.0,0.198,16.9,1
gig_worker,10872.65,46,0.981,0.76,2,0.389,0.0,0.053,66.2,0
gig_worker,16724.91,54,0.924,0.759,1,0.909,0.0,0.185,67.6,0
gig_worker,5601.24,48,0.92,0.326,0,0.927,0.0,0.219,93.5,0
kirana_merchant,25122.15,43,1.047,0.739,5,0.769,0.344,0.261,36.2,1
freelancer,15199.67,45,0.717,0.129,4,0.333,0.0,0.203,45.2,0
freelancer,27721.2,45,0.784,0.265,3,0.962,0.0,0.205,28.8,0
gig_worker,11937.49,50,0.642,0.512,6,0.792,0.0,0.207,67.9,0
kirana_merchant,28041.92,47,0.963,0.425,2,0.282,0.828,0.109,51.6,0
kirana_merchant,21862.8,60,1.022,0.19,6,0.665,0.299,0.309,31.5,0
gig_worker,57009.69,46,0.803,0.133,7,0.695,0.0,0.224,53.7,0
gig_worker,54484.88,42,0.778,0.589,0,0.674,0.0,0.245,62.7,0
gig_worker,39841.84,53,0.929,0.351,4,0.628,0.0,0.186,77.2,0
freelancer,22849.7,50,0.638,0.113,0,0.256,0.0,0.068,37.2,0
gig_worker,72597.82,44,0.747,0.445,2,0.357,0.0,0.073,92.3,0
kirana_merchant,12375.6,39,0.783,0.345,4,0.946,0.012,0.172,63.8,0
kirana_merchant,13335.98,44,0.859,0.561,0,0.817,0.195,0.307,50.2,0
gig_worker,25799.45,44,0.838,0.844,9,0.653,0.0,0.06,74.2,1
freelancer,83035.13,48,0.704,0.346,1,0.668,0.0,0.186,41.5,0
freelancer,24314.56,50,0.87,0.898,4,0.439,0.0,0.033,28.9,1
gig_worker,24547.8,43,1.063,0.169,3,0.459,0.0,0.308,76.8,0
kirana_merchant,13082.68,52,0.614,0.171,3,0.304,0.676,0.106,17.6,0
gig_worker,43172.75,50,0.94,0.67,8,0.943,0.0,0.136,73.6,0
gig_worker,43329.46,36,0.912,0.699,10,0.725,0.0,0.074,80.5,1
gig_worker,39916.2,60,1.062,0.438,0,0.415,0.0,0.124,80.5,0
kirana_merchant,19641.3,46,0.923,0.329,6,0.77,0.411,0.15,67.6,0
kirana_merchant,18894.89,49,0.912,0.735,0,0.882,0.335,0.073,30.8,0
gig_worker,14093.08,51,0.985,0.865,3,0.761,0.0,0.113,97.6,1
gig_worker,28055.4,38,0.734,0.892,10,0.423,0.0,0.246,99.0,0
freelancer,15674.59,34,0.898,0.608,1,0.374,0.0,0.306,49.5,1
gig_worker,14932.45,47,0.86,0.692,10,0.286,0.0,0.234,96.6,0
gig_worker,21767.09,53,0.819,0.758,5,0.522,0.0,0.338,77.6,0
kirana_merchant,21066.13,36,0.64,0.739,8,0.941,0.151,0.101,26.4,0
freelancer,20558.11,38,0.746,0.895,9,0.36,0.0,0.139,13.2,1
gig_worker,33969.63,43,0.74,0.748,0,0.584,0.0,0.129,41.6,0
kirana_merchant,27987.8,40,0.962,0.63,3,0.208,0.512,0.195,54.3,1
kirana_merchant,23293.32,45,1.06,0.401,5,0.875,0.643,0.255,56.2,0
gig_worker,29481.15,54,0.715,0.578,1,0.697,0.0,0.09,83.0,0
kirana_merchant,16386.88,39,0.637,0.804,3,0.456,0.788,0.292,52.2,0
gig_worker,28357.29,51,1.1,0.344,0,0.302,0.0,0.132,72.0,1
kirana_merchant,29007.25,46,0.946,0.125,11,0.704,0.542,0.173,21.2,0
kirana_merchant,12688.82,49,1.043,0.362,5,0.629,0.137,0.296,16.7,0
kirana_merchant,44260.45,45,0.672,0.868,2,0.987,0.437,0.128,38.2,0
gig_worker,17314.22,42,1.0,0.735,1,0.575,0.0,0.241,50.6,0
freelancer,28145.84,58,1.007,0.25,1,0.327,0.0,0.173,5.0,1
gig_worker,48156.23,51,0.676,0.11,7,0.878,0.0,0.11,72.3,0
gig_worker,42737.77,47,0.681,0.635,5,0.916,0.0,0.168,74.7,0
gig_worker,27369.01,37,0.748,0.563,1,0.282,0.0,0.271,68.3,0
kirana_merchant,22443.37,51,0.708,0.166,5,0.862,0.32,0.24,46.8,0
kirana_merchant,43206.92,50,1.088,0.873,1,0.409,0.879,0.269,19.5,1
gig_worker,37697.44,52,0.781,0.594,0,0.631,0.0,0.124,81.9,1
kirana_merchant,19748.2,49,0.981,0.621,7,0.674,0.55,0.274,56.3,0
gig_worker,18079.85,50,1.003,0.783,2,0.916,0.0,0.154,66.6,0
kirana_merchant,9545.47,47,0.793,0.37,2,0.326,0.237,0.197,8.2,0
gig_worker,29057.04,37,0.941,0.547,0,0.216,0.0,0.31,61.7,0
kirana_merchant,25813.45,33,0.654,0.561,2,0.677,0.219,0.257,50.4,0
gig_worker,47481.51,53,0.798,0.874,3,0.704,0.0,0.256,59.6,0
freelancer,32193.75,32,1.084,0.205,3,0.972,0.0,0.185,70.0,0
gig_worker,52423.73,50,0.684,0.707,0,0.28,0.0,0.211,81.2,0
gig_worker,18983.36,40,0.793,0.56,1,0.526,0.0,0.269,78.3,0
gig_worker,47528.04,43,0.995,0.776,2,0.769,0.0,0.021,79.1,0
freelancer,20651.47,42,0.933,0.766,3,0.645,0.0,0.156,20.0,1
freelancer,39687.76,47,0.916,0.11,6,0.963,0.0,0.119,37.1,0
gig_worker,12972.94,48,1.027,0.305,5,0.271,0.0,0.104,43.8,1
kirana_merchant,30259.57,58,0.615,0.245,8,0.317,0.857,0.294,9.6,0
freelancer,9973.19,50,0.986,0.469,2,0.691,0.0,0.177,31.9,0
kirana_merchant,23539.41,45,1.041,0.824,18,0.703,0.951,0.036,41.3,1
kirana_merchant,33529.37,37,0.608,0.104,3,0.572,0.736,0.342,59.2,0
gig_worker,20733.7,47,0.879,0.491,5,0.792,0.0,0.068,55.9,0
gig_worker,15911.24,45,0.774,0.808,7,0.468,0.0,0.163,72.0,0
freelancer,41071.07,48,0.625,0.841,2,0.419,0.0,0.228,28.0,0
freelancer,25546.83,43,0.809,0.626,1,0.35,0.0,0.206,11.3,0
kirana_merchant,21061.77,34,0.922,0.764,2,0.685,0.471,0.164,37.7,0
gig_worker,27472.7,44,1.06,0.359,2,0.844,0.0,0.121,58.3,0
gig_worker,100542.38,36,0.91,0.329,17,0.224,0.0,0.208,62.2,0
kirana_merchant,47894.28,47,1.028,0.139,9,0.328,0.89,0.302,37.3,1
freelancer,48112.0,45,0.661,0.503,4,0.882,0.0,0.099,68.2,0
freelancer,33448.87,52,0.705,0.465,3,0.218,0.0,0.041,47.0,0
kirana_merchant,29238.53,44,1.085,0.398,5,0.235,0.503,0.138,59.8,0
kirana_merchant,8118.97,44,1.044,0.191,0,0.612,0.929,0.267,51.4,0
gig_worker,19158.65,48,0.718,0.285,9,0.494,0.0,0.347,72.7,0
gig_worker,21156.72,48,0.91,0.263,6,0.816,0.0,0.235,85.4,0
freelancer,10536.01,38,0.781,0.855,4,0.722,0.0,0.188,31.9,0
kirana_merchant,15082.53,56,0.834,0.873,1,0.35,0.095,0.045,19.6,1
gig_worker,9992.42,64,1.03,0.103,4,0.47,0.0,0.133,70.2,0
gig_worker,26392.58,55,0.968,0.236,1,0.269,0.0,0.039,70.7,0
kirana_merchant,40513.19,40,0.719,0.811,3,0.275,0.333,0.159,80.3,1
gig_worker,46788.24,36,0.758,0.131,2,0.985,0.0,0.182,85.1,1
gig_worker,33103.43,44,0.745,0.855,0,0.231,0.0,0.111,65.9,0
kirana_merchant,16619.0,50,0.99,0.404,7,0.345,0.93,0.043,40.9,1
kirana_merchant,10239.08,39,0.845,0.531,1,0.518,0.239,0.161,36.4,0
kirana_merchant,11176.47,46,1.075,0.711,5,0.673,0.742,0.34,31.4,1
gig_worker,14264.21,45,1.008,0.295,0,0.963,0.0,0.126,80.0,0
kirana_merchant,17250.05,46,0.706,0.181,2,0.511,0.665,0.124,7.7,0
gig_worker,24837.89,36,0.993,0.748,2,0.348,0.0,0.069,71.1,1
gig_worker,16202.45,38,0.853,0.888,9,0.591,0.0,0.203,59.8,0
kirana_merchant,31872.15,47,0.727,0.627,0,0.817,0.084,0.197,15.9,0
kirana_merchant,23953.34,40,0.782,0.76,3,0.408,0.941,0.147,13.8,0
freelancer,27045.42,64,1.086,0.853,11,0.335,0.0,0.315,41.8,1
kirana_merchant,47577.98,55,0.842,0.283,9,0.772,0.801,0.051,71.1,0
kirana_merchant,14911.44,36,0.96,0.38,0,0.617,0.032,0.324,22.7,0
gig_worker,33168.38,60,0.839,0.275,0,0.747,0.0,0.156,83.6,0
gig_worker,26715.88,53,0.786,0.149,7,0.492,0.0,0.065,66.7,0
gig_worker,22771.31,46,0.998,0.686,3,0.851,0.0,0.206,66.6,0
gig_worker,41882.7,57,1.024,0.217,4,0.54,0.0,0.244,76.6,0
freelancer,41752.19,48,0.636,0.174,3,0.726,0.0,0.112,31.2,0
gig_worker,16760.07,40,0.739,0.386,1,0.506,0.0,0.296,76.9,0
freelancer,24561.11,34,0.854,0.148,1,0.655,0.0,0.024,52.2,0
kirana_merchant,30964.78,48,0.758,0.244,1,0.652,0.054,0.135,46.3,1
kirana_merchant,23470.43,44,0.992,0.156,0,0.838,0.683,0.31,45.4,0
kirana_merchant,36044.54,31,0.657,0.802,16,0.279,0.791,0.244,58.9,1
kirana_merchant,30964.48,35,0.999,0.724,7,0.381,0.278,0.094,38.2,1
kirana_merchant,67257.29,49,0.909,0.788,9,0.434,0.407,0.17,61.3,1
gig_worker,12517.22,46,0.745,0.795,1,0.606,0.0,0.108,95.2,0
kirana_merchant,25305.63,47,0.772,0.856,8,0.927,0.36,0.176,60.3,0
gig_worker,17081.46,37,0.691,0.249,3,0.839,0.0,0.296,77.9,0
gig_worker,36390.16,36,0.726,0.82,1,0.87,0.0,0.037,85.5,0
kirana_merchant,11985.03,52,0.959,0.52,7,0.475,0.264,0.101,35.8,0
gig_worker,31989.29,48,0.788,0.233,1,0.468,0.0,0.03,83.9,0
freelancer,19633.17,43,0.944,0.625,5,0.757,0.0,0.347,32.5,1
freelancer,18637.28,50,0.857,0.362,1,0.887,0.0,0.073,31.3,0
freelancer,13052.71,43,0.673,0.137,0,0.967,0.0,0.113,29.4,0
gig_worker,21321.3,46,0.85,0.163,1,0.49,0.0,0.302,90.2,0
gig_worker,46270.05,31,0.978,0.439,2,0.703,0.0,0.189,89.3,0
freelancer,26566.48,55,0.749,0.761,0,0.761,0.0,0.332,55.1,0
kirana_merchant,36821.61,51,0.924,0.349,6,0.922,0.687,0.215,50.9,1
freelancer,61840.94,42,0.7,0.713,1,0.79,0.0,0.258,5.0,0
freelancer,30695.7,41,0.668,0.145,2,0.54,0.0,0.224,5.0,0
freelancer,20345.2,42,0.78,0.415,4,0.815,0.0,0.263,40.8,0
gig_worker,33983.35,44,0.795,0.202,2,0.559,0.0,0.109,68.5,1
gig_worker,20493.27,50,0.981,0.791,6,0.993,0.0,0.13,49.3,0
freelancer,20905.94,52,0.83,0.874,0,0.492,0.0,0.219,39.0,1
gig_worker,12582.39,39,0.641,0.36,4,0.259,0.0,0.304,66.3,0
gig_worker,42750.18,38,0.917,0.891,1,0.768,0.0,0.095,92.1,0
kirana_merchant,22181.16,37,0.835,0.702,0,0.439,0.539,0.336,43.4,0
freelancer,29467.67,47,0.766,0.101,0,0.765,0.0,0.168,28.7,0
kirana_merchant,16026.82,53,1.001,0.488,22,0.261,0.089,0.065,22.3,1
kirana_merchant,33455.58,57,0.677,0.767,11,0.99,0.181,0.308,44.8,1
gig_worker,18380.2,45,1.057,0.527,15,0.837,0.0,0.326,83.7,0
kirana_merchant,25062.94,51,0.767,0.54,0,0.751,0.757,0.292,40.9,0
freelancer,41727.39,51,0.83,0.458,2,0.714,0.0,0.164,47.7,0
gig_worker,39949.83,43,1.065,0.416,2,0.312,0.0,0.331,71.8,0
kirana_merchant,26608.47,45,0.981,0.122,2,0.316,0.278,0.13,56.5,0
freelancer,11113.71,44,0.637,0.597,1,0.262,0.0,0.049,36.7,1
kirana_merchant,120139.07,46,0.889,0.713,4,0.811,0.672,0.133,21.4,0
kirana_merchant,64403.9,45,0.755,0.732,2,0.771,0.714,0.141,63.7,0
kirana_merchant,38612.73,48,0.854,0.6,0,0.892,0.962,0.284,60.2,0
gig_worker,18460.68,41,0.971,0.373,2,0.72,0.0,0.256,87.5,0
gig_worker,25417.77,37,0.848,0.118,8,0.516,0.0,0.225,99.0,0
freelancer,20502.25,46,0.636,0.817,3,0.92,0.0,0.084,34.5,0
freelancer,50611.19,45,0.865,0.443,6,0.693,0.0,0.284,35.1,0
freelancer,30676.48,43,0.612,0.581,5,0.238,0.0,0.031,33.7,0
freelancer,18177.1,43,0.774,0.256,3,0.919,0.0,0.092,27.4,0
kirana_merchant,21260.85,30,0.839,0.214,3,0.899,0.042,0.201,52.8,0
kirana_merchant,47126.66,35,0.922,0.169,4,0.806,0.372,0.177,39.1,1
kirana_merchant,59877.07,55,0.853,0.739,3,0.942,0.401,0.248,67.3,0
kirana_merchant,57766.59,50,0.676,0.617,0,0.519,0.269,0.282,44.9,0
kirana_merchant,39281.78,43,1.066,0.597,0,0.875,0.441,0.305,53.3,0
kirana_merchant,23710.84,36,0.925,0.836,2,0.947,0.451,0.338,51.1,0
freelancer,5320.08,32,0.758,0.227,3,0.833,0.0,0.203,44.8,0
gig_worker,31212.69,53,1.083,0.236,14,0.785,0.0,0.212,59.1,0
gig_worker,26878.6,45,1.041,0.252,1,0.485,0.0,0.205,89.9,0
gig_worker,28853.63,52,0.672,0.439,2,0.471,0.0,0.316,78.8,0
kirana_merchant,27638.05,50,0.928,0.799,5,0.919,0.536,0.275,52.2,0
gig_worker,13861.48,49,0.88,0.805,0,0.344,0.0,0.184,78.6,0
kirana_merchant,35550.31,40,0.696,0.572,6,0.234,0.351,0.246,6.2,0
kirana_merchant,36905.22,52,0.717,0.627,17,0.712,0.535,0.121,45.7,0
gig_worker,37841.79,28,0.882,0.818,1,0.47,0.0,0.075,73.2,1
kirana_merchant,43186.73,38,0.761,0.599,2,0.784,0.469,0.036,48.2,1
gig_worker,36389.15,50,1.017,0.284,1,0.998,0.0,0.157,86.2,0
gig_worker,21916.29,54,0.649,0.664,1,0.373,0.0,0.143,84.8,0
freelancer,25966.99,44,1.057,0.716,8,0.456,0.0,0.27,50.8,1
gig_worker,28157.31,54,1.02,0.608,6,0.677,0.0,0.186,58.5,0
gig_worker,28391.63,42,0.969,0.319,5,0.732,0.0,0.076,73.7,0
kirana_merchant,44316.34,41,0.731,0.42,0,0.995,0.871,0.052,19.0,0
kirana_merchant,37117.15,44,0.957,0.476,0,0.597,0.688,0.046,45.3,0
gig_worker,76013.92,47,0.819,0.216,5,0.375,0.0,0.026,56.3,0
kirana_merchant,81083.48,41,0.917,0.462,4,0.906,0.393,0.045,39.8,0
gig_worker,27996.22,44,0.756,0.229,0,0.768,0.0,0.269,83.3,0
gig_worker,3950.8,50,1.018,0.5,15,0.696,0.0,0.275,99.0,1
kirana_merchant,49931.94,50,0.62,0.141,7,0.892,0.333,0.137,28.7,0
kirana_merchant,20533.48,57,0.946,0.859,0,0.261,0.668,0.031,48.1,0
kirana_merchant,18020.37,49,1.014,0.297,3,0.564,0.202,0.063,43.2,0
kirana_merchant,22043.6,52,0.923,0.474,5,0.911,0.099,0.187,36.6,1
freelancer,21518.72,50,0.696,0.126,6,0.266,0.0,0.342,40.3,0
kirana_merchant,36538.98,32,0.742,0.254,3,0.659,0.204,0.06,48.9,0
gig_worker,12336.06,46,0.857,0.655,1,0.449,0.0,0.071,73.3,0
kirana_merchant,15695.66,29,0.765,0.189,5,0.653,0.483,0.154,22.0,1
gig_worker,31938.88,45,0.602,0.603,5,0.277,0.0,0.223,72.5,0
kirana_merchant,36734.51,38,0.62,0.102,7,0.633,0.0,0.149,54.1,0
gig_worker,37077.69,47,0.984,0.472,12,0.609,0.0,0.227,49.1,1
gig_worker,18151.02,47,0.642,0.677,0,0.252,0.0,0.042,61.7,0
freelancer,16495.9,44,1.064,0.841,2,0.387,0.0,0.079,22.3,1
freelancer,20882.83,57,0.821,0.494,8,0.307,0.0,0.043,33.4,1
kirana_merchant,30331.33,34,0.979,0.772,3,0.58,0.153,0.309,56.3,1
kirana_merchant,56541.98,47,0.663,0.742,1,0.427,0.713,0.284,40.6,0
gig_worker,9665.15,41,1.063,0.337,4,0.615,0.0,0.108,92.3,0
gig_worker,24092.01,35,0.617,0.8,0,0.651,0.0,0.269,76.5,1
gig_worker,13817.08,54,0.621,0.612,5,0.206,0.0,0.288,73.0,0
kirana_merchant,11776.7,42,0.627,0.183,1,0.896,0.753,0.301,44.6,0
kirana_merchant,43629.04,55,0.652,0.851,2,0.318,0.126,0.163,15.3,1
kirana_merchant,35323.8,53,0.843,0.241,5,0.874,0.763,0.34,42.3,0
gig_worker,33681.93,42,0.994,0.476,2,0.635,0.0,0.314,77.7,0
freelancer,42638.5,39,0.742,0.473,21,0.383,0.0,0.254,63.9,1
kirana_merchant,21165.77,45,0.973,0.6,2,0.824,0.669,0.031,28.9,0
kirana_merchant,21669.94,43,0.987,0.632,3,0.716,0.566,0.263,64.5,0
kirana_merchant,80247.05,43,1.054,0.286,4,0.723,0.223,0.227,53.8,0
kirana_merchant,23782.72,42,0.675,0.382,13,0.449,0.274,0.332,34.5,0
gig_worker,38853.99,64,0.668,0.216,0,0.522,0.0,0.17,63.6,0
gig_worker,26989.17,49,0.661,0.201,0,0.629,0.0,0.214,90.5,0
